#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,EL)U-235-L0,SIG
#NUCLEUS    U-235
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 19.2935     42.6784      Lin-Lin
 19.3014     43.702       Lin-Lin
 19.3089     44.416       Lin-Lin
 19.3166     44.8903      Lin-Lin
 19.3252     45.0998      Lin-Lin
 19.3339     44.9869      Lin-Lin
 19.3425     44.5734      Lin-Lin
 19.3511     43.8892      Lin-Lin
 19.3597     42.9706      Lin-Lin
 19.3712     41.4508      Lin-Lin
 19.3827     39.6853      Lin-Lin
 19.4229     32.876       Lin-Lin
 19.4354     30.8902      Lin-Lin
 19.4488     28.9158      Lin-Lin
 19.4623     27.1382      Lin-Lin
 19.4758     25.5705      Lin-Lin
 19.4893     24.2037      Lin-Lin
 19.501      23.1586      Lin-Lin
 19.5128     22.2382      Lin-Lin
 19.5277     21.2336      Lin-Lin
 19.5445     20.2622      Lin-Lin
 19.558      19.5901      Lin-Lin
 19.5782     18.7188      Lin-Lin
 19.5984     17.9757      Lin-Lin
 19.6187     17.3319      Lin-Lin
 19.6456     16.5961      Lin-Lin
 19.6726     15.9738      Lin-Lin
 19.6975     15.4802      Lin-Lin
 19.736      14.8419      Lin-Lin
 19.7764     14.2911      Lin-Lin
 19.8168     13.8305      Lin-Lin
 19.8631     13.3834      Lin-Lin
 19.9288     12.852       Lin-Lin
 19.9926     12.4134      Lin-Lin
 20.0564     12.0454      Lin-Lin
 20.1028     11.8494      Lin-Lin
 20.1499     11.7342      Lin-Lin
 20.2287     11.6032      Lin-Lin
 20.2732     11.448       Lin-Lin
 20.3218     11.1891      Lin-Lin
 20.4707     10.2635      Lin-Lin
 20.5113     10.0558      Lin-Lin
 20.5415     9.96205      Lin-Lin
 20.5604     9.94493      Lin-Lin
 20.5868     9.98142      Lin-Lin
 20.6539     10.2277      Lin-Lin
 20.6747     10.2534      Lin-Lin
 20.697      10.2107      Lin-Lin
 20.714      10.1238      Lin-Lin
 20.7333     9.97174      Lin-Lin
 20.7594     9.69374      Lin-Lin
 20.7855     9.36034      Lin-Lin
 20.8439     8.56422      Lin-Lin
 20.8627     8.35004      Lin-Lin
 20.8753     8.24404      Lin-Lin
 20.8878     8.18495      Lin-Lin
 20.8927     8.17872      Lin-Lin
 20.9023     8.20075      Lin-Lin
 20.912      8.27811      Lin-Lin
 20.9192     8.3796       Lin-Lin
 20.9265     8.52409      Lin-Lin
 20.9337     8.71674      Lin-Lin
 20.941      8.96239      Lin-Lin
 20.9482     9.26544      Lin-Lin
 20.9555     9.6295       Lin-Lin
 20.9627     10.0572      Lin-Lin
 20.969      10.4804      Lin-Lin
 20.9767     11.0682      Lin-Lin
 20.9844     11.7277      Lin-Lin
 20.9931     12.5498      Lin-Lin
 21.0028     13.5506      Lin-Lin
 21.0124     14.6241      Lin-Lin
 21.0454     18.4628      Lin-Lin
 21.0573     19.737       Lin-Lin
 21.0679     20.7432      Lin-Lin
 21.0785     21.5974      Lin-Lin
 21.0872     22.1647      Lin-Lin
 21.0937     22.4984      Lin-Lin
 21.102      22.8186      Lin-Lin
 21.1103     23.0143      Lin-Lin
 21.1186     23.0892      Lin-Lin
 21.1269     23.0502      Lin-Lin
 21.1353     22.9077      Lin-Lin
 21.1477     22.5275      Lin-Lin
 21.1602     21.9902      Lin-Lin
 21.1768     21.1151      Lin-Lin
 21.2101     19.2016      Lin-Lin
 21.2284     18.223       Lin-Lin
 21.2446     17.4507      Lin-Lin
 21.2608     16.7777      Lin-Lin
 21.2764     16.2211      Lin-Lin
 21.292      15.7442      Lin-Lin
 21.3154     15.1538      Lin-Lin
 21.3336     14.7776      Lin-Lin
 21.3544     14.4156      Lin-Lin
 21.3856     13.974       Lin-Lin
 21.4189     13.598       Lin-Lin
 21.4563     13.2559      Lin-Lin
 21.5062     12.8905      Lin-Lin
 21.5741     12.5023      Lin-Lin
 21.642      12.1948      Lin-Lin
 21.7237     11.8924      Lin-Lin
 21.8444     11.5297      Lin-Lin
 22.0313     11.072       Lin-Lin
 22.3454     10.3696      Lin-Lin
 22.4661     10.0546      Lin-Lin
 22.5653     9.73555      Lin-Lin
 22.6206     9.51325      Lin-Lin
 22.6653     9.29521      Lin-Lin
 22.7164     8.99168      Lin-Lin
 22.7717     8.64288      Lin-Lin
 22.7901     8.55808      Lin-Lin
 22.8109     8.51411      Lin-Lin
 22.8132     8.51376      Lin-Lin
 22.827      8.53509      Lin-Lin
 22.8408     8.60186      Lin-Lin
 22.8546     8.71948      Lin-Lin
 22.8684     8.88998      Lin-Lin
 22.885      9.1605       Lin-Lin
 22.9025     9.50905      Lin-Lin
 22.9449     10.4353      Lin-Lin
 22.9629     10.7662      Lin-Lin
 22.9799     11.0004      Lin-Lin
 22.9937     11.1214      Lin-Lin
 23.0098     11.1811      Lin-Lin
 23.0121     11.1826      Lin-Lin
 23.026      11.1575      Lin-Lin
 23.0444     11.0435      Lin-Lin
 23.0628     10.8589      Lin-Lin
 23.0905     10.5004      Lin-Lin
 23.2056     8.79821      Lin-Lin
 23.2282     8.5051       Lin-Lin
 23.2452     8.33462      Lin-Lin
 23.2559     8.26296      Lin-Lin
 23.2661     8.23072      Lin-Lin
 23.2712     8.23025      Lin-Lin
 23.2813     8.26578      Lin-Lin
 23.2915     8.3565       Lin-Lin
 23.2995     8.47102      Lin-Lin
 23.3075     8.62642      Lin-Lin
 23.3157     8.82992      Lin-Lin
 23.3243     9.09206      Lin-Lin
 23.3325     9.38665      Lin-Lin
 23.3449     9.90393      Lin-Lin
 23.3572     10.496       Lin-Lin
 23.3969     12.5874      Lin-Lin
 23.4113     13.2544      Lin-Lin
 23.4238     13.736       Lin-Lin
 23.4335     14.0322      Lin-Lin
 23.4428     14.248       Lin-Lin
 23.4522     14.3946      Lin-Lin
 23.4634     14.4831      Lin-Lin
 23.4671     14.493       Lin-Lin
 23.4796     14.4636      Lin-Lin
