#LIBRARY    ENDF/B-VIII.b4
#REACTION   U-235(N,G)U-236,SIG
#NUCLEUS    U-235
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 3.80474     6.52136      Lin-Lin
 3.8131      6.09921      Lin-Lin
 3.82145     5.72854      Lin-Lin
 3.82981     5.40169      Lin-Lin
 3.83816     5.11224      Lin-Lin
 3.84652     4.85487      Lin-Lin
 3.85488     4.62508      Lin-Lin
 3.86323     4.41914      Lin-Lin
 3.87159     4.23391      Lin-Lin
 3.88273     4.01463      Lin-Lin
 3.89387     3.82232      Lin-Lin
 3.90501     3.65281      Lin-Lin
 3.91615     3.50272      Lin-Lin
 3.92729     3.36929      Lin-Lin
 3.94178     3.21703      Lin-Lin
 3.95626     3.08505      Lin-Lin
 3.97548     2.93581      Lin-Lin
 3.9947      2.81082      Lin-Lin
 4.01458     2.70233      Lin-Lin
 4.03578     2.60577      Lin-Lin
 4.05698     2.52564      Lin-Lin
 4.07838     2.45883      Lin-Lin
 4.09272     2.42093      Lin-Lin
 4.12139     2.35934      Lin-Lin
 4.15046     2.31362      Lin-Lin
 4.17953     2.28259      Lin-Lin
 4.20493     2.26647      Lin-Lin
 4.23034     2.26011      Lin-Lin
 4.26018     2.26483      Lin-Lin
 4.29002     2.28284      Lin-Lin
 4.32028     2.31552      Lin-Lin
 4.35054     2.36437      Lin-Lin
 4.37356     2.41385      Lin-Lin
 4.39658     2.47565      Lin-Lin
 4.4197      2.55225      Lin-Lin
 4.44304     2.64722      Lin-Lin
 4.46639     2.76394      Lin-Lin
 4.48206     2.85715      Lin-Lin
 4.49784     2.96549      Lin-Lin
 4.51362     3.09105      Lin-Lin
 4.5294      3.23727      Lin-Lin
 4.54129     3.3637       Lin-Lin
 4.55329     3.50811      Lin-Lin
 4.56529     3.67236      Lin-Lin
 4.5773      3.86015      Lin-Lin
 4.5893      4.07611      Lin-Lin
 4.6013      4.3261       Lin-Lin
 4.60942     4.5181       Lin-Lin
 4.61753     4.73195      Lin-Lin
 4.62564     4.97111      Lin-Lin
 4.63376     5.23985      Lin-Lin
 4.64187     5.54338      Lin-Lin
 4.64999     5.88819      Lin-Lin
 4.65607     6.17871      Lin-Lin
 4.66216     6.50119      Lin-Lin
 4.66898     6.90719      Lin-Lin
 4.67452     7.27672      Lin-Lin
 4.68005     7.68853      Lin-Lin
 4.68559     8.14972      Lin-Lin
 4.69112     8.66902      Lin-Lin
 4.69527     9.10306      Lin-Lin
 4.69942     9.58138      Lin-Lin
 4.70358     10.1106      Lin-Lin
 4.70773     10.6986      Lin-Lin
 4.71049     11.1278      Lin-Lin
 4.71443     11.7966      Lin-Lin
 4.71836     12.5441      Lin-Lin
 4.7223      13.3829      Lin-Lin
 4.72525     14.0812      Lin-Lin
 4.7282      14.8467      Lin-Lin
 4.73115     15.688       Lin-Lin
 4.7341      16.6143      Lin-Lin
 4.73705     17.6363      Lin-Lin
 4.74        18.7657      Lin-Lin
 4.74304     20.053       Lin-Lin
 4.74624     21.5672      Lin-Lin
 4.74944     23.2607      Lin-Lin
 4.75265     25.1552      Lin-Lin
 4.75478     26.5414      Lin-Lin
 4.75692     28.0346      Lin-Lin
 4.75905     29.6421      Lin-Lin
 4.7613      31.4663      Lin-Lin
 4.76355     33.4347      Lin-Lin
 4.7658      35.5563      Lin-Lin
 4.76805     37.8398      Lin-Lin
 4.77029     40.2939      Lin-Lin
 4.77254     42.9266      Lin-Lin
 4.77479     45.7453      Lin-Lin
 4.77704     48.7565      Lin-Lin
 4.78041     53.6462      Lin-Lin
 4.78378     58.9942      Lin-Lin
 4.78716     64.8049      Lin-Lin
 4.79053     71.0728      Lin-Lin
 4.7939      77.7801      Lin-Lin
 4.79727     84.8961      Lin-Lin
 4.80177     94.9386      Lin-Lin
 4.80851     110.866      Lin-Lin
 4.81751     132.548      Lin-Lin
 4.822       142.956      Lin-Lin
 4.8265      152.658      Lin-Lin
 4.831       161.332      Lin-Lin
 4.83504     168.005      Lin-Lin
 4.83808     172.178      Lin-Lin
 4.84134     175.773      Lin-Lin
 4.84471     178.449      Lin-Lin
 4.84808     180.006      Lin-Lin
 4.85071     180.421      Lin-Lin
 4.85426     179.858      Lin-Lin
 4.85752     178.219      Lin-Lin
 4.85977     176.48       Lin-Lin
 4.86337     172.716      Lin-Lin
 4.86697     167.829      Lin-Lin
 4.87034     162.335      Lin-Lin
 4.87371     156.074      Lin-Lin
 4.87821     146.756      Lin-Lin
 4.8827      136.619      Lin-Lin
 4.89727     101.847      Lin-Lin
 4.90206     90.8556      Lin-Lin
 4.90685     80.4932      Lin-Lin
 4.91058     72.9683      Lin-Lin
 4.91377     66.9319      Lin-Lin
 4.91697     61.2964      Lin-Lin
 4.92016     56.0699      Lin-Lin
 4.92335     51.252       Lin-Lin
 4.92548     48.2636      Lin-Lin
 4.92797     44.9975      Lin-Lin
 4.93045     41.9616      Lin-Lin
 4.93293     39.1467      Lin-Lin
 4.93542     36.5428      Lin-Lin
 4.9379      34.139       Lin-Lin
 4.94039     31.9237      Lin-Lin
 4.94287     29.8852      Lin-Lin
 4.94535     28.0117      Lin-Lin
 4.94801     26.1742      Lin-Lin
 4.95068     24.4986      Lin-Lin
 4.95334     22.9715      Lin-Lin
 4.956       21.5799      Lin-Lin
 4.95866     20.3116      Lin-Lin
 4.96132     19.1553      Lin-Lin
 4.96398     18.1004      Lin-Lin
 4.96664     17.1372      Lin-Lin
 4.96931     16.2568      Lin-Lin
 4.97197     15.4509      Lin-Lin
 4.97498     14.6185      Lin-Lin
 4.97871     13.6953      Lin-Lin
 4.98243     12.8733      Lin-Lin
 4.98616     12.1389      Lin-Lin
 4.98989     11.4803      Lin-Lin
 4.99361     10.8877      Lin-Lin
 4.99734     10.3525      Lin-Lin
 5.00106     9.86749      Lin-Lin
 5.00603     9.28833      Lin-Lin
 5.011       8.77536      Lin-Lin
 5.01526     8.38081      Lin-Lin
 5.02058     7.93796      Lin-Lin
 5.0259      7.54337      Lin-Lin
 5.03122     7.19021      Lin-Lin
 5.03477     6.97499      Lin-Lin
 5.04187     6.58677      Lin-Lin
 5.04897     6.24718      Lin-Lin
 5.05606     5.94867      Lin-Lin
 5.06316     5.68517      Lin-Lin
 5.07026     5.45172      Lin-Lin
 5.0792      5.19418      Lin-Lin
 5.08814     4.9714       Lin-Lin
 5.09708     4.77811      Lin-Lin
 5.10602     4.61011      Lin-Lin
 5.11496     4.46394      Lin-Lin
 5.12838     4.27964      Lin-Lin
 5.14179     4.13079      Lin-Lin
 5.15539     4.01024      Lin-Lin
 5.16899     3.91586      Lin-Lin
 5.18259     3.84425      Lin-Lin
 5.19619     3.79284      Lin-Lin
 5.2098      3.7598       Lin-Lin
 5.22178     3.74489      Lin-Lin
 5.22922     3.74209      Lin-Lin
 5.24838     3.75737      Lin-Lin
 5.26116     3.78601      Lin-Lin
