#LIBRARY    ENDF/B-VIII.b4
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 2.88E+06    1.12705      Lin-Lin
 2.883E+06   1.1395       Lin-Lin
 2.8845E+06  1.15197      Lin-Lin
 2.885E+06   1.1576       Lin-Lin
 2.886E+06   1.17571      Lin-Lin
 2.88688E+06 1.20616      Lin-Lin
 2.887E+06   1.21287      Lin-Lin
 2.88725E+06 1.23611      Lin-Lin
 2.88781E+06 1.29475      Lin-Lin
 2.88791E+06 1.30865      Lin-Lin
 2.88797E+06 1.32438      Lin-Lin
 2.88802E+06 1.34576      Lin-Lin
 2.8881E+06  1.38494      Lin-Lin
 2.8882E+06  1.44827      Lin-Lin
 2.8886E+06  1.71763      Lin-Lin
 2.88868E+06 1.77475      Lin-Lin
 2.88872E+06 1.82296      Lin-Lin
 2.88876E+06 1.86957      Lin-Lin
 2.8888E+06  1.92904      Lin-Lin
 2.88884E+06 2.00418      Lin-Lin
 2.88888E+06 2.09618      Lin-Lin
 2.8889E+06  2.16642      Lin-Lin
 2.88895E+06 2.32289      Lin-Lin
 2.88901E+06 2.5229       Lin-Lin
 2.88904E+06 2.59228      Lin-Lin
 2.88906E+06 2.64851      Lin-Lin
 2.88909E+06 2.68663      Lin-Lin
 2.88911E+06 2.70063      Lin-Lin
 2.88911E+06 2.70219      Lin-Lin
 2.88913E+06 2.69696      Lin-Lin
 2.88915E+06 2.67623      Lin-Lin
 2.88917E+06 2.63974      Lin-Lin
 2.88919E+06 2.58786      Lin-Lin
 2.88921E+06 2.52165      Lin-Lin
 2.88922E+06 2.44273      Lin-Lin
 2.88925E+06 2.32148      Lin-Lin
 2.88929E+06 2.11766      Lin-Lin
 2.88934E+06 1.83779      Lin-Lin
 2.88936E+06 1.70653      Lin-Lin
 2.88939E+06 1.58613      Lin-Lin
 2.88941E+06 1.50429      Lin-Lin
 2.88942E+06 1.43024      Lin-Lin
 2.88944E+06 1.3641       Lin-Lin
 2.88946E+06 1.30569      Lin-Lin
 2.88948E+06 1.25468      Lin-Lin
 2.8895E+06  1.21057      Lin-Lin
 2.88952E+06 1.17278      Lin-Lin
 2.88954E+06 1.14071      Lin-Lin
 2.88956E+06 1.10575      Lin-Lin
 2.88959E+06 1.07839      Lin-Lin
 2.88961E+06 1.05727      Lin-Lin
 2.88964E+06 1.04115      Lin-Lin
 2.88968E+06 1.02396      Lin-Lin
 2.88972E+06 1.00941      Lin-Lin
 2.8898E+06  0.99589      Lin-Lin
 2.8899E+06  0.982856     Lin-Lin
